anzahl;vorname;geschlecht;position
68;Marie;w;2
51;Sophie;w;2
45;Charlotte;w;1
36;Alexander;m;2
35;Noah;m;1
33;Charlotte;w;2
30;David;m;1
30;Emilia;w;1
30;Leon;m;1
27;Maria;w;2
26;Maximilian;m;2
26;Valentin;m;2
26;Ella;w;1
26;Lea;w;1
25;Theodor;m;1
24;Karl;m;1
24;Emma;w;1
24;Maximilian;m;1
23;Elias;m;2
23;Paul;m;2
23;Emilia;w;2
23;Sophia;w;1
23;Adam;m;1
23;Anton;m;1
23;Emil;m;1
23;Jonas;m;1
22;Anna;w;1
22;Johanna;w;1
22;Felix;m;1
22;Liam;m;1
21;Elisabeth;w;2
21;Clara;w;1
21;Mathilda;w;1
21;Elias;m;1
21;Jakob;m;1
21;Leo;m;1
21;Lukas;m;1
20;Mia;w;1
20;Henry;m;1
19;Frida;w;1
19;Hannah;w;1
19;Olivia;w;1
19;Levi;m;1
19;Paul;m;1
18;Luise;w;2
18;Ben;m;1
18;Gabriel;m;1
18;Leonard;m;1
17;Anna;w;2
17;Hanna;w;1
17;Marie;w;1
17;Mila;w;1
17;Nora;w;1
17;Paula;w;1
17;Benjamin;m;1
16;Alma;w;1
16;Lara;w;1
16;Leni;w;1
16;Leonie;w;1
16;Alexander;m;1
16;Lina;w;1
16;Max;m;1
15;Johanna;w;2
15;Helena;w;1
15;Julius;m;1
15;Lena;w;1
15;Pauline;w;1
14;Ali;m;2
14;Anton;m;2
14;Johann;m;2
14;Sophia;w;2
14;Finn;m;1
14;Louis;m;1
14;Amelie;w;1
14;Luca;m;1
14;Maya;w;1
14;Malik;m;1
14;Milan;m;1
13;Emil;m;2
13;Michael;m;2
13;Emily;w;1
13;Frieda;w;1
13;Jonathan;m;1
13;Luise;w;1
13;Linus;m;1
13;Sofia;w;1
13;Sophie;w;1
12;Elisabeth;w;3
12;Benjamin;m;2
12;Luisa;w;2
12;Aaron;m;1
12;Luis;m;1
12;Ava;w;1
12;Mateo;m;1
12;Isabella;w;1
12;Raphael;m;1
12;Juna;w;1
12;Samuel;m;1
12;Liya;w;1
12;Tim;m;1
12;Lotta;w;1
12;Luisa;w;1
12;Marlene;w;1
12;Mina;w;1
11;Friedrich;m;2
11;Lina;w;2
11;Louis;m;2
11;Marlene;w;2
11;Samuel;m;2
11;Moritz;m;1
11;Viktor;m;1
11;Vincent;m;1
11;Ada;w;1
11;Amira;w;1
11;Flora;w;1
11;Ida;w;1
11;Lia;w;1
11;Lilly;w;1
11;Mara;w;1
11;Thea;w;1
11;Tilda;w;1
10;Alexander;m;3
10;Antonia;w;2
10;Carlotta;w;2
10;Helene;w;2
10;Magdalena;w;2
10;Mathilda;w;2
10;Rosa;w;2
10;Victoria;w;2
10;Arthur;m;1
10;August;m;1
10;Bruno;m;1
10;Caspar;m;1
10;Erik;m;1
10;Friedrich;m;1
10;Johann;m;1
10;Joshua;m;1
10;Kian;m;1
10;Matteo;m;1
10;Antonia;w;1
10;Mika;m;1
10;Rosa;w;1
10;Nicolas;m;1
10;Oskar;m;1
10;Theo;m;1
9;David;m;2
9;Felix;m;2
9;Karl;m;2
9;Peter;m;2
9;Theresa;w;2
9;Alina;w;1
9;Amalia;w;1
9;Carla;w;1
9;Ali;m;1
9;Carlotta;w;1
9;Carl;m;1
9;Cleo;w;1
9;Daniel;m;1
9;Elisabeth;w;1
9;Frederik;m;1
9;Julia;w;1
9;Jan;m;1
9;Karla;w;1
9;Leopold;m;1
9;Nisa;w;1
8;Marie;w;3
8;Carl;m;2
8;Ferdinand;m;2
8;Johannes;m;2
8;Jonathan;m;2
8;Katharina;w;2
8;Oskar;m;2
8;Lea;w;2
8;Otto;m;2
8;Lou;w;2
8;Theodor;m;2
8;Wilhelm;m;2
8;Arian;m;1
8;Aliya;w;1
8;Eymen;m;1
8;Elisa;w;1
8;Gustav;m;1
8;Klara;w;1
8;Hamza;m;1
8;Lana;w;1
8;Hugo;m;1
8;Luna;w;1
8;Jasper;m;1
8;Maria;w;1
8;Joris;m;1
8;Matilda;w;1
8;Julian;m;1
8;Medina;w;1
8;Justus;m;1
8;Mira;w;1
8;Lian;m;1
8;Zoe;w;1
8;Mert;m;1
8;Niklas;m;1
8;Noel;m;1
8;Oliver;m;1
8;Philipp;m;1
8;Valentin;m;1
7;Sophie;w;3
7;Ida;w;2
7;Louisa;w;2
7;Gabriel;m;2
7;Pauline;w;2
7;Joel;m;2
7;Viktoria;w;2
7;Luca;m;2
7;Nael;m;2
7;Robert;m;2
7;Theo;m;2
7;Thomas;m;2
7;Aaliyah;w;1
7;Alva;w;1
7;Amelia;w;1
7;Anouk;w;1
7;Elif;w;1
7;Elina;w;1
7;Ayaz;m;1
7;Laura;w;1
7;Elio;m;1
7;Louise;w;1
7;Fynn;m;1
7;Lucy;w;1
7;Henri;m;1
7;Maja;w;1
7;Ibrahim;m;1
7;Martha;w;1
7;Jona;m;1
7;Merle;w;1
7;Lasse;m;1
7;Romy;w;1
7;Luka;m;1
7;Ruby;w;1
7;Mattis;m;1
7;Sarah;w;1
7;Milo;m;1
7;Theresa;w;1
7;Simon;m;1
7;Viktoria;w;1
6;Amalia;w;2
6;Aurelia;w;2
6;Elisa;w;2
6;Ella;w;2
6;Lena;w;2
6;Finn;m;2
6;Leonie;w;2
6;Georg;m;2
6;Louise;w;2
6;Jakob;m;2
6;Paulina;w;2
6;Josef;m;2
6;Luis;m;2
6;Noel;m;2
6;Simon;m;2
6;Vincent;m;2
6;Can;m;1
6;Alea;w;1
6;Carlo;m;1
6;Alexandra;w;1
6;Edgar;m;1
6;Aurelia;w;1
6;Elian;m;1
6;Ela;w;1
6;Emir;m;1
6;Josephine;w;1
6;Fabian;m;1
6;Lilia;w;1
6;Jannis;m;1
6;Louisa;w;1
6;Kilian;m;1
6;Lucia;w;1
6;Konstantin;m;1
6;Marla;w;1
6;Leonardo;m;1
6;Melissa;w;1
6;Lionel;m;1
6;Milla;w;1
6;Mio;m;1
6;Nele;w;1
