anzahl;vorname;geschlecht;position
32;Marie;w;2
30;Noah;m;1
29;Emil;m;1
26;Emma;w;1
26;Henry;m;1
24;Sophie;w;2
23;Emilia;w;1
22;Maria;w;2
22;Maya;w;1
22;Anton;m;1
22;Mia;w;1
21;Alexander;m;2
21;Liam;m;1
20;Anna;w;2
19;Charlotte;w;1
19;Adam;m;1
19;Ella;w;1
19;Leo;m;1
19;Oskar;m;1
18;Charlotte;w;2
18;Mila;w;1
18;Jonas;m;1
18;Leon;m;1
18;Louis;m;1
18;Theodor;m;1
17;Ida;w;1
17;Jakob;m;1
17;Maximilian;m;1
16;Ava;w;1
16;Hannah;w;1
16;Julius;m;1
15;Clara;w;1
15;Elena;w;1
15;Sophia;w;1
15;Felix;m;1
15;Muhammed;m;1
14;Emilia;w;2
14;Luise;w;2
14;Anna;w;1
14;Lara;w;1
14;Paula;w;1
14;Sophie;w;1
14;Alexander;m;1
14;Milan;m;1
14;Moritz;m;1
13;Zoe;w;1
13;Ali;m;1
13;Elias;m;1
13;Hamza;m;1
12;Emil;m;2
12;Michael;m;2
12;Paul;m;2
12;Alma;w;1
12;Emily;w;1
12;Hanna;w;1
12;Johanna;w;1
12;Lina;w;1
12;Gabriel;m;1
12;Ilyas;m;1
12;Karl;m;1
11;Frieda;w;1
11;Mara;w;1
11;Maria;w;1
11;Bruno;m;1
11;Meryem;w;1
11;Daniel;m;1
11;Mira;w;1
11;Finn;m;1
11;Nina;w;1
11;Luca;m;1
11;Olivia;w;1
11;Max;m;1
11;Romy;w;1
11;Theo;m;1
11;Vincent;m;1
10;Anton;m;2
10;Valentin;m;2
10;Elise;w;2
10;Lea;w;1
10;Mathilda;w;1
10;David;m;1
10;Nora;w;1
10;Jonathan;m;1
10;Valentina;w;1
10;Juri;m;1
10;Luis;m;1
10;Samuel;m;1
9;Elias;m;2
9;Anh;w;2
9;Elisabeth;w;2
9;Lou;w;2
9;Antonia;w;1
9;Eva;w;1
9;Julia;w;1
9;Ben;m;1
9;Liya;w;1
9;Benjamin;m;1
9;Sara;w;1
9;Erik;m;1
9;Sarah;w;1
9;Fiete;m;1
9;Ibrahim;m;1
9;Jonah;m;1
9;Leonard;m;1
9;Levi;m;1
9;Linus;m;1
9;Matteo;m;1
9;Paul;m;1
9;William;m;1
9;Yusuf;m;1
8;Ali;m;2
8;August;m;2
8;Benjamin;m;2
8;Maximilian;m;2
8;Ida;w;2
8;Alva;w;1
8;Cleo;w;1
8;Elisabeth;w;1
8;Juna;w;1
8;Laura;w;1
8;Leonie;w;1
8;Lia;w;1
8;Tilda;w;1
8;Amir;m;1
8;Arthur;m;1
8;Bela;m;1
8;Lucas;m;1
8;Malte;m;1
7;Anh;w;3
7;David;m;2
7;Emin;m;2
7;Nur;w;2
7;Luca;m;2
7;Minh;m;2
7;Elif;w;1
7;Elin;w;1
7;Frida;w;1
7;Helena;w;1
