anzahl;vorname;geschlecht;position
12;Paul;m;1
11;Marie;w;2
11;Emma;w;1
10;Oskar;m;1
9;Ben;m;1
8;Anna;w;1
8;Finn;m;1
7;Elias;m;1
7;Liam;m;1
6;Sophie;w;2
6;Charlotte;w;1
6;Emilia;w;1
6;Mina;w;1
6;Noah;m;1
5;Charlotte;w;2
5;Lea;w;1
5;Lina;w;1
5;Erik;m;1
5;Felix;m;1
5;Levi;m;1
5;Luca;m;1
5;Lukas;m;1
4;Alexander;m;2
4;Anton;m;2
4;Christian;m;2
4;Louis;m;2
4;Alessia;w;1
4;Antonia;w;1
4;Ella;w;1
4;Eva;w;1
4;Hailey;w;1
4;Arthur;m;1
4;Hannah;w;1
4;David;m;1
4;Lena;w;1
4;Dean;m;1
4;Mathilda;w;1
4;Leo;m;1
4;Mila;w;1
4;Leon;m;1
4;Luis;m;1
4;Matteo;m;1
4;Tim;m;1
3;Emilia;w;2
3;Friedrich;m;2
3;Lara;w;2
3;Karl;m;2
3;Maria;w;2
3;Mika;m;2
3;Sofia;w;2
3;Minh;m;2
3;Richard;m;2
3;Aurelia;w;1
3;Clara;w;1
3;Delia;w;1
3;Elisa;w;1
3;Anton;m;1
3;Elisabeth;w;1
3;Bruno;m;1
3;Emily;w;1
3;Emil;m;1
3;Finja;w;1
3;Emilio;m;1
3;Flora;w;1
3;Eric;m;1
3;Jolina;w;1
3;Hendrik;m;1
3;Julia;w;1
3;Leonard;m;1
3;Lara;w;1
3;Levin;m;1
3;Leonie;w;1
3;Luka;m;1
3;Lisa;w;1
3;Mateo;m;1
3;Luisa;w;1
3;Mika;m;1
3;Mara;w;1
3;Muhammad;m;1
3;Maria;w;1
3;Niklas;m;1
3;Matilda;w;1
3;Samuel;m;1
3;Merle;w;1
3;Theodor;m;1
3;Nina;w;1
3;Till;m;1
3;Olivia;w;1
3;William;m;1
3;Paulina;w;1
3;Pauline;w;1
3;Sophia;w;1
2;Amelie;w;2
2;Cataleya;w;2
2;Ali;m;2
2;Elena;w;2
2;Andreas;m;2
2;Ella;w;2
2;Antonio;m;2
2;Emma;w;2
2;Benedikt;m;2
2;Fabienne;w;2
2;Duc;m;2
2;Helene;w;2
2;Elias;m;2
2;Käthe;w;2
2;Felix;m;2
2;Marta;w;2
2;Finn;m;2
2;Melissa;w;2
2;Gabriel;m;2
2;Olivia;w;2
2;Gerhard;m;2
2;Paula;w;2
2;Jayden;m;2
2;Petra;w;2
2;Joachim;m;2
2;Rosa;w;2
2;Joel;m;2
2;Ruth;w;2
2;Johann;m;2
2;Sofie;w;2
2;Liam;m;2
2;Victoria;w;2
2;Linus;m;2
2;Viktoria;w;2
2;Luca;m;2
2;Martin;m;2
2;Matteo;m;2
2;Max;m;2
2;Maximilian;m;2
2;Michael;m;2
2;Noel;m;2
2;Oliver;m;2
2;Pascal;m;2
2;Peter;m;2
2;Theodor;m;2
2;Wilhelm;m;2
2;William;m;2
2;Alan;m;1
2;Alfred;m;1
2;Ansgar;m;1
2;Aaliyah;w;1
2;Arian;m;1
2;Ajla;w;1
2;Benjamin;m;1
2;Aleksandra;w;1
2;Béla;m;1
2;Alina;w;1
2;Colin;m;1
2;Aliya;w;1
2;Damian;m;1
2;Amelie;w;1
2;Dominik;m;1
2;Ava;w;1
2;Edgar;m;1
2;Daria;w;1
2;Emilian;m;1
2;Elena;w;1
2;Fabius;m;1
2;Elin;w;1
2;Falco;m;1
2;Elina;w;1
2;Florian;m;1
2;Elsa;w;1
2;Hamza;m;1
2;Emelie;w;1
2;Henri;m;1
2;Felice;w;1
2;Hugo;m;1
2;Frida;w;1
2;Jasper;m;1
2;Grace;w;1
2;Joel;m;1
2;Haylie;w;1
2;John;m;1
2;Ida;w;1
2;Jonah;m;1
2;Isabella;w;1
2;Jonas;m;1
2;Jamila;w;1
2;Jonathan;m;1
2;Joleen;w;1
2;Joshua;m;1
2;Klara;w;1
2;Julian;m;1
2;Laura;w;1
2;Leevi;m;1
2;Layla;w;1
2;Lennard;m;1
2;Leila;w;1
2;Leonardo;m;1
2;Leni;w;1
2;Lew;m;1
2;Lia;w;1
2;Lino;m;1
2;Lilly;w;1
2;Louis;m;1
2;Linda;w;1
2;Lucas;m;1
2;Linea;w;1
2;Mailo;m;1
2;Livia;w;1
2;Malik;m;1
2;Luna;w;1
2;Markus;m;1
2;Madina;w;1
2;Matei;m;1
2;Maya;w;1
2;Matheo;m;1
2;Melissa;w;1
2;Maurice;m;1
2;Mia;w;1
2;Max;m;1
2;Mira;w;1
2;Maximilian;m;1
2;Miriam;w;1
2;Milan;m;1
2;Nathalie;w;1
2;Milo;m;1
2;Nelli;w;1
2;Moritz;m;1
2;Romy;w;1
2;Noel;m;1
2;Rosalie;w;1
2;Phillip;m;1
2;Samira;w;1
2;Timo;m;1
2;Sara;w;1
2;Tobias;m;1
2;Sophie;w;1
2;Tom;m;1
2;Stella;w;1
2;Toni;m;1
2;Zoe;w;1
2;Tony;m;1
2;Tristan;m;1
2;Valentin;m;1
2;Vincent;m;1
2;Willi;m;1
1;Charlotte;w;4
1;Hedwig;w;4
1;Petra;w;4
1;Alfons;m;3
1;Alessia;w;3
1;Anh;m;3
1;Anh;w;3
1;Bird;m;3
1;Cami;w;3
1;Constantin;m;3
1;Celina;w;3
1;David;m;3
1;Grete;w;3
1;Friedrich;m;3
1;Helga;w;3
1;Jacob;m;3
1;Inés;w;3
1;Khang;m;3
1;Karina;w;3
1;Lothar;m;3
1;Kelly;w;3
1;Manfred;m;3
1;Lien;w;3
1;Marc;m;3
1;Lilith;w;3
1;Mario;m;3
1;Martina;w;3
1;Martin;m;3
1;My;w;3
1;Nhien;m;3
1;Nasser;w;3
1;Oskar;m;3
1;Ngọc;w;3
1;René;m;3
1;Như;w;3
1;Rudi;m;3
1;Penielle;w;3
1;Simson;m;3
1;Renée;w;3
1;Sven;m;3
1;Rosina;w;3
1;Tariel;m;3
1;Sophie;w;3
1;Tommy;m;3
1;Zhoreva;w;3
1;Ulrich;m;3
1;Viet;m;3
1;Vu;m;3
1;Werner;m;3
1;Willy;m;3
