anzahl;vorname;geschlecht;position
48;Sophie;w;2
39;Marie;w;2
33;Mia;w;1
31;Charlotte;w;1
30;Ali;m;1
30;Leon;m;1
29;Maria;w;2
28;Adam;m;1
27;Emilia;w;1
27;Mila;w;1
25;Maximilian;m;1
24;Noah;m;1
24;Emma;w;1
24;Maria;w;1
23;David;m;1
23;Liam;m;1
22;Alexander;m;2
21;Daniel;m;1
21;Paul;m;1
20;Charlotte;w;2
20;Leo;m;1
19;Ali;m;2
19;Anna;w;1
19;Lea;w;1
19;Alexander;m;1
19;Louis;m;1
18;Felix;m;1
18;Karl;m;1
18;Leonard;m;1
17;Johanna;w;2
17;Hanna;w;1
17;Marie;w;1
17;Mira;w;1
17;Elias;m;1
17;Levi;m;1
17;Theodor;m;1
16;Ava;w;1
16;Clara;w;1
16;Lia;w;1
16;Sofia;w;1
16;Amir;m;1
16;Anton;m;1
16;Emil;m;1
16;Henry;m;1
16;Jonas;m;1
16;Milan;m;1
15;Anton;m;2
15;Paul;m;2
15;Elisa;w;1
15;Ida;w;1
15;Lina;w;1
15;Maya;w;1
15;Ben;m;1
15;Finn;m;1
15;Jakob;m;1
15;Mohammad;m;1
15;Muhammed;m;1
14;Friedrich;m;2
14;Elena;w;1
14;Ella;w;1
14;Sara;w;1
14;Sophia;w;1
14;Henri;m;1
14;Omar;m;1
13;Maximilian;m;2
13;Alina;w;1
13;Ahmad;m;1
13;Ibrahim;m;1
13;Jonathan;m;1
13;Max;m;1
13;Muhammad;m;1
13;Theo;m;1
12;Elisabeth;w;2
12;Sophia;w;2
12;Amelia;w;1
12;Antonia;w;1
12;Hannah;w;1
12;Johanna;w;1
12;Mathilda;w;1
12;Lukas;m;1
11;Alma;w;1
11;Amira;w;1
11;Frieda;w;1
11;Julia;w;1
11;Liya;w;1
11;Mara;w;1
11;Olivia;w;1
11;Pauline;w;1
11;Aaron;m;1
11;Adrian;m;1
11;Arthur;m;1
11;Carl;m;1
11;Luca;m;1
11;Oskar;m;1
11;Yasin;m;1
10;Elias;m;2
10;Helena;w;1
10;Nora;w;1
10;Friedrich;m;1
10;Gabriel;m;1
10;Hamza;m;1
10;Julius;m;1
10;Karim;m;1
10;Malik;m;1
10;Miran;m;1
10;Mohamed;m;1
10;Valentin;m;1
10;Yusuf;m;1
9;Louis;m;2
9;Grace;w;2
9;Thomas;m;2
9;Luise;w;2
9;Valentin;m;2
9;Rose;w;2
9;Wilhelm;m;2
9;Aisha;w;1
9;Amalia;w;1
9;Amina;w;1
9;Emily;w;1
9;Lara;w;1
9;Lena;w;1
9;Luisa;w;1
9;Luna;w;1
9;Melek;w;1
9;Zeynep;w;1
9;Zoe;w;1
9;Emir;m;1
9;Julian;m;1
9;Leopold;m;1
9;Maxim;m;1
9;Mehmet;m;1
9;Milo;m;1
9;Samuel;m;1
9;Victor;m;1
8;Louise;w;2
8;Can;m;2
8;Mia;w;2
8;Emil;m;2
8;Frederik;m;2
8;Jonathan;m;2
8;Josef;m;2
8;Alva;w;1
8;Azra;w;1
8;Celine;w;1
8;Klara;w;1
8;Laura;w;1
8;Leni;w;1
8;Mina;w;1
8;Sarah;w;1
8;Sophie;w;1
8;Benjamin;m;1
8;Erik;m;1
8;Ismail;m;1
8;Jan;m;1
8;Jasper;m;1
8;Lio;m;1
8;Moritz;m;1
8;Nicolas;m;1
8;Otto;m;1
8;Vincent;m;1
8;Youssef;m;1
8;Ömer;m;1
7;Amalia;w;2
7;Helena;w;2
7;Mathilda;w;2
7;Pauline;w;2
7;August;m;2
7;Sara;w;2
7;Benjamin;m;2
7;Christian;m;2
7;Jakob;m;2
7;Johann;m;2
7;Johannes;m;2
7;Leo;m;2
7;Leon;m;2
7;Luis;m;2
7;Minh;m;2
7;Aurelia;w;1
7;Esma;w;1
7;Frida;w;1
7;Leonie;w;1
7;Luise;w;1
7;Maja;w;1
7;Malina;w;1
7;Mariam;w;1
7;Marlene;w;1
7;Merle;w;1
7;Nele;w;1
7;Selina;w;1
7;Caspar;m;1
7;Enes;m;1
7;Fabian;m;1
7;Fritz;m;1
7;Jacob;m;1
7;Linus;m;1
7;Lucas;m;1
7;Mateo;m;1
7;Minh;m;1
7;Mohamad;m;1
7;Philipp;m;1
7;Robin;m;1
7;Simon;m;1
7;Tim;m;1
7;Umut;m;1
6;Alexander;m;3
6;Peter;m;3
6;Antonia;w;2
6;Carlotta;w;2
6;Emilia;w;2
6;Lou;w;2
6;Luisa;w;2
6;Anh;m;2
6;Daniel;m;2
6;David;m;2
6;Ferdinand;m;2
6;Gabriel;m;2
6;Michael;m;2
6;Philipp;m;2
6;Alice;w;1
6;Amelie;w;1
6;Ela;w;1
6;Ema;w;1
6;Fatima;w;1
6;Isabella;w;1
6;Martha;w;1
6;Medina;w;1
6;Miriam;w;1
6;Narin;w;1
6;Romy;w;1
6;Rosa;w;1
6;Rosalie;w;1
6;Victoria;w;1
6;Abdullah;m;1
6;Deniz;m;1
6;Elian;m;1
6;Frederik;m;1
6;Hussein;m;1
6;Jad;m;1
6;Johann;m;1
6;Konstantin;m;1
6;Lennart;m;1
6;Mahmoud;m;1
6;Marc;m;1
6;Mark;m;1
6;Matei;m;1
6;Mert;m;1
6;Mika;m;1
6;Mikail;m;1
6;Mustafa;m;1
6;Raphael;m;1
5;Elisabeth;w;3
5;Fatima;w;2
5;Ida;w;2
5;Isabella;w;2
5;Jolie;w;2
5;Lotte;w;2
5;Luna;w;2
5;Nur;w;2
5;Olivia;w;2
5;Rosa;w;2
5;Sofia;w;2
5;Sofie;w;2
5;Emin;m;2
5;Victoria;w;2
5;Gia;m;2
5;Gustav;m;2
5;Heinrich;m;2
5;John;m;2
5;Karl;m;2
5;Klaus;m;2
5;Konstantin;m;2
5;Levi;m;2
5;Martin;m;2
5;Moritz;m;2
5;Noah;m;2
5;Noel;m;2
5;Richard;m;2
5;William;m;2
5;Aleyna;w;1
5;Anastasia;w;1
5;Anouk;w;1
5;Arya;w;1
5;Carlotta;w;1
5;Edda;w;1
5;Eva;w;1
5;Fiona;w;1
5;Helene;w;1
5;Henriette;w;1
5;Iva;w;1
5;Jasmin;w;1
5;Juna;w;1
5;Karlotta;w;1
5;Kira;w;1
5;Lana;w;1
5;Lilly;w;1
5;Lisa;w;1
5;Lucia;w;1
5;Malak;w;1
5;Maryam;w;1
5;Matilda;w;1
5;Melina;w;1
5;Albert;m;1
5;Miray;w;1
5;Ayaz;m;1
5;Valentina;w;1
5;Bela;m;1
5;Zümra;w;1
5;Bruno;m;1
5;Carlo;m;1
5;Constantin;m;1
5;Ferdinand;m;1
5;Florian;m;1
5;Gustav;m;1
5;Hannes;m;1
5;Hugo;m;1
5;Kaan;m;1
5;Kadir;m;1
5;Kevin;m;1
5;Khaled;m;1
5;Kian;m;1
5;Luan;m;1
5;Ludwig;m;1
5;Luka;m;1
5;Mohammed;m;1
5;Musa;m;1
5;Nico;m;1
5;Rio;m;1
5;Sam;m;1
5;Sebastian;m;1
5;Yousef;m;1
4;Helene;w;3
4;Maria;m;3
4;Rose;w;3
4;Otto;m;3
4;Sophie;w;3
4;Thomas;m;3
4;Ada;w;2
4;Angelina;w;2
4;Anna;w;2
4;Celine;w;2
4;Doris;w;2
4;Helene;w;2
4;Leonora;w;2
4;Liya;w;2
4;Zoe;w;2
4;Adam;m;2
4;Andreas;m;2
4;Asaf;m;2
4;Benedikt;m;2
4;Carl;m;2
4;Christopher;m;2
4;Constantin;m;2
4;Felix;m;2
4;Frederick;m;2
4;Fritz;m;2
4;Georg;m;2
4;Henry;m;2
4;Jonas;m;2
4;Leonard;m;2
4;Liam;m;2
4;Luca;m;2
4;Malik;m;2
4;Milan;m;2
4;Oliver;m;2
4;Stephan;m;2
4;Ada;w;1
4;Alexandra;w;1
4;Amani;w;1
4;Amara;w;1
4;Angelina;w;1
4;Ayla;w;1
4;Bahar;w;1
4;Carla;w;1
4;Cleo;w;1
4;Diana;w;1
4;Elin;w;1
4;Elina;w;1
4;Ellen;w;1
4;Elsa;w;1
4;Emilie;w;1
4;Felicia;w;1
4;Freya;w;1
4;Helin;w;1
4;Jennifer;w;1
4;Josephine;w;1
4;Karla;w;1
4;Layan;w;1
4;Leah;w;1
4;Alex;m;1
4;Leyla;w;1
4;Antonio;m;1
4;Liliana;w;1
4;Ari;m;1
4;Lilith;w;1
4;Arian;m;1
4;Linda;w;1
4;August;m;1
4;Liv;w;1
4;Benedikt;m;1
4;Liyah;w;1
4;Damian;m;1
4;Lotta;w;1
4;Eli;m;1
4;Malia;w;1
4;Emmanuel;m;1
4;Marlena;w;1
4;Franz;m;1
4;Melody;w;1
4;Fynn;m;1
4;Meryem;w;1
4;Hasan;m;1
4;Milena;w;1
4;Idris;m;1
4;Milou;w;1
4;Ilyas;m;1
4;Nina;w;1
4;Issa;m;1
4;Noa;w;1
4;Jamal;m;1
4;Paula;w;1
4;Jayden;m;1
4;Paulina;w;1
4;Johannes;m;1
4;Samira;w;1
4;Jona;m;1
4;Selena;w;1
4;Jonah;m;1
4;Sena;w;1
4;Joseph;m;1
4;Shirin;w;1
4;Justus;m;1
4;Tala;w;1
4;Karam;m;1
4;Tasnim;w;1
4;Kerem;m;1
4;Valeria;w;1
4;Levin;m;1
4;Vanessa;w;1
4;Lewis;m;1
4;Violeta;w;1
4;Lion;m;1
4;Yasmin;w;1
4;Marcel;m;1
4;Yuna;w;1
4;Marco;m;1
4;Zahra;w;1
4;Marlon;m;1
4;Zehra;w;1
4;Mats;m;1
4;Miguel;m;1
4;Neo;m;1
4;Oliver;m;1
4;Osman;m;1
4;Pepe;m;1
4;Richard;m;1
4;Taha;m;1
4;Thilo;m;1
4;Vito;m;1
4;William;m;1
4;Yunus;m;1
3;Charlotte;w;3
3;Ali;m;3
3;Margot;w;3
3;Anh;m;3
3;Maria;w;3
3;Georg;m;3
3;Marie;w;3
3;Hugo;m;3
3;Vy;w;3
3;Karl;m;3
3;Kasimir;m;3
3;Khang;m;3
3;Maximilian;m;3
3;Paul;m;3
3;Valentin;m;3
3;Alexandra;w;2
3;Anita;w;2
3;Ann;w;2
3;Anni;w;2
3;Augusta;w;2
3;Aurelia;w;2
3;Aurora;w;2
3;Carolina;w;2
3;Cecilia;w;2
3;Chloé;w;2
3;Eleonora;w;2
3;Elisa;w;2
3;Elise;w;2
3;Ella;w;2
3;Evelyn;w;2
3;Fritzi;w;2
3;Hannah;w;2
3;Josephine;w;2
3;Lina;w;2
3;Linh;w;2
3;Lore;w;2
3;Lucia;w;2
3;Manuela;w;2
3;Mara;w;2
3;Margarete;w;2
3;Ahmad;m;2
3;Marlene;w;2
3;Ahmed;m;2
3;Matilda;w;2
3;Ahmet;m;2
3;Maya;w;2
3;Albert;m;2
3;Michelle;w;2
3;Anthony;m;2
3;Nhi;w;2
3;Arthur;m;2
3;Paula;w;2
3;Asenov;m;2
3;Silvia;w;2
3;Aurelius;m;2
3;Su;w;2
3;Ben;m;2
3;Valentina;w;2
3;Benedict;m;2
3;Viktoria;w;2
3;Bảo;m;2
3;Dean;m;2
3;Efe;m;2
3;Emilio;m;2
3;Ensar;m;2
3;Eren;m;2
3;Fabian;m;2
3;Fiete;m;2
3;Finn;m;2
3;Hamza;m;2
3;Hans;m;2
3;Heinz;m;2
3;Ivan;m;2
3;James;m;2
3;Jan;m;2
3;Jasper;m;2
3;Joel;m;2
3;Lukas;m;2
3;Marco;m;2
3;Matteo;m;2
3;Max;m;2
3;Maxim;m;2
3;Maximus;m;2
3;Milo;m;2
3;Mustafa;m;2
3;Otto;m;2
3;Peter;m;2
3;Robert;m;2
3;Sebastian;m;2
3;Steven;m;2
3;Talha;m;2
3;Theodor;m;2
3;Ulrich;m;2
3;Walter;m;2
3;Werner;m;2
3;Aaliyah;w;1
3;Adele;w;1
3;Adriana;w;1
3;Alea;w;1
3;Aleksandra;w;1
3;Aliya;w;1
3;Amy;w;1
3;Aseel;w;1
3;Asel;w;1
3;Asya;w;1
3;Charlie;w;1
3;Dalia;w;1
3;Ahmed;m;1
3;Daria;w;1
3;Aleks;m;1
3;Dilan;w;1
3;Alen;m;1
3;Dua;w;1
3;Alfred;m;1
3;Eleen;w;1
3;Aras;m;1
3;Elif;w;1
3;Arda;m;1
3;Erika;w;1
3;Aron;m;1
3;Esra;w;1
3;Augustin;m;1
3;Evelyn;w;1
3;Bilal;m;1
3;Finja;w;1
3;Christian;m;1
3;Flora;w;1
3;Christopher;m;1
3;Freyja;w;1
3;Edgar;m;1
3;Greta;w;1
3;Efe;m;1
3;Hailey;w;1
3;Eliano;m;1
3;Hana;w;1
3;Elio;m;1
3;Hedi;w;1
3;Elliot;m;1
3;Isabell;w;1
3;Emilio;m;1
3;Jana;w;1
3;Fabio;m;1
3;Jette;w;1
3;Filip;m;1
3;Kaia;w;1
3;Finley;m;1
3;Katharina;w;1
3;Firat;m;1
3;Leen;w;1
3;Frederick;m;1
3;Linnea;w;1
3;Harry;m;1
3;Livia;w;1
3;Ian;m;1
3;Lore;w;1
3;Isaac;m;1
3;Maliya;w;1
3;Janosch;m;1
3;Naya;w;1
3;Jaron;m;1
3;Nayla;w;1
3;Jason;m;1
3;Nova;w;1
3;Johan;m;1
3;Nura;w;1
3;Joud;m;1
3;Penelope;w;1
3;Julien;m;1
3;Philippa;w;1
3;Juri;m;1
3;Safia;w;1
3;Kilian;m;1
3;Salma;w;1
3;Kolja;m;1
3;Selin;w;1
3;Kylian;m;1
3;Selma;w;1
3;Lasse;m;1
3;Talia;w;1
3;Lennard;m;1
3;Talin;w;1
3;Leonardo;m;1
3;Tara;w;1
3;Lian;m;1
3;Thea;w;1
3;Luis;m;1
3;Theresa;w;1
3;Mahdi;m;1
3;Tilda;w;1
3;Malek;m;1
3;Tulin;w;1
3;Malte;m;1
3;Zara;w;1
3;Marlo;m;1
3;Zaynab;w;1
3;Matteo;m;1
3;Şirin;w;1
3;Musab;m;1
3;Nathan;m;1
3;Nathaniel;m;1
3;Nikolai;m;1
3;Noel;m;1
3;Oscar;m;1
3;Philip;m;1
3;Poyraz;m;1
3;Rafael;m;1
3;Romeo;m;1
3;Ruben;m;1
3;Salih;m;1
3;Sami;m;1
3;Selim;m;1
3;Sinan;m;1
3;Stefan;m;1
3;Thomas;m;1
3;Tino;m;1
3;Tom;m;1
3;Wilhelm;m;1
3;Yassin;m;1
3;Yunis;m;1
3;Yussef;m;1
2;Ghislaine;w;4
2;Alexandra;w;3
2;Alice;w;3
2;Helga;w;3
2;Karin;w;3
2;Kolibri;w;3
2;Laura;w;3
2;Albert;m;3
2;Linda;w;3
2;Antonio;m;3
2;Marianne;w;3
2;Emil;m;3
2;Friedrich;m;3
2;Fritz;m;3
2;Götz;m;3
2;Günter;m;3
2;Hưng;m;3
2;Jan;m;3
2;Johann;m;3
2;Junior;m;3
2;Louis;m;3
2;Ludwig;m;3
2;Minh;m;3
2;Raphael;m;3
2;Theodor;m;3
2;Tom;m;3
2;Đức;m;3
2;Adele;w;2
2;Adriana;w;2
2;Agata;w;2
2;Alicia;w;2
2;Alieva;w;2
2;Alma;w;2
