anzahl;vorname;geschlecht;position
9;Noah;m;1
9;Elif;w;1
8;Ali;m;1
8;Muhammed;m;1
7;Sophie;w;2
7;Mila;w;1
7;Adam;m;1
6;Hannah;w;1
6;Melina;w;1
6;Elias;m;1
6;Mia;w;1
6;Liam;m;1
6;Lukas;m;1
6;Yusuf;m;1
5;Gabriel;m;2
5;Alina;w;1
5;Emma;w;1
5;Lina;w;1
5;Alexander;m;1
5;Yasin;m;1
4;Emilia;w;1
4;Fatima;w;1
4;Abdullah;m;1
4;Jana;w;1
4;David;m;1
4;Mira;w;1
4;Finn;m;1
4;Louis;m;1
4;Matti;m;1
4;Milan;m;1
4;Miran;m;1
3;David;m;2
3;Amelia;w;2
3;Yusuf;m;2
3;Emilia;w;2
3;Aleyna;w;1
3;Amelie;w;1
3;Elina;w;1
3;Karla;w;1
3;Lara;w;1
3;Amir;m;1
3;Lena;w;1
3;Bilal;m;1
3;Leonie;w;1
3;Leon;m;1
3;Nisa;w;1
3;Milo;m;1
3;Sofia;w;1
3;Sebastian;m;1
3;Sophia;w;1
3;Stella;w;1
3;Zeynep;w;1
2;Mohammed;w;3
2;Sophie;w;3
2;Adrian;m;2
2;Abdullah;w;2
2;Alexander;m;2
2;Aleyna;w;2
2;Ali;m;2
2;Anastasia;w;2
2;Angel;m;2
2;Elisabeth;w;2
2;Efe;m;2
2;Freya;w;2
2;Felix;m;2
2;Grace;w;2
2;Mert;m;2
2;Lara;w;2
2;Paul;m;2
2;Leia;w;2
2;Taha;m;2
2;Lolade;w;2
2;Thor;m;2
2;Maria;w;2
2;Marie;w;2
2;Rose;w;2
2;Sophia;w;2
2;Aleksander;m;1
2;Anir;m;1
2;Anton;m;1
2;Alexandra;w;1
2;Arian;m;1
2;Aliyah;w;1
2;Bela;m;1
2;Amira;w;1
2;Deniz;m;1
2;Anastasia;w;1
2;Diar;m;1
2;Ava;w;1
2;Diyar;m;1
2;Aylia;w;1
2;Ediz;m;1
2;Azra;w;1
2;Elyas;m;1
2;Beren;w;1
2;Emil;m;1
2;Celine;w;1
2;Emilio;m;1
2;Charlotte;w;1
2;Erik;m;1
2;Ela;w;1
2;Hassan;m;1
2;Elaine;w;1
2;Ilay;m;1
2;Elena;w;1
2;Ilyas;m;1
2;Emily;w;1
2;Imad;m;1
2;Felina;w;1
2;Jacob;m;1
2;Frida;w;1
2;Jan;m;1
2;Johanna;w;1
2;Julian;m;1
2;Klara;w;1
2;Karam;m;1
2;Laya;w;1
2;Lars;m;1
2;Lea;w;1
2;Lasse;m;1
2;Leen;w;1
2;Leonard;m;1
2;Leilani;w;1
2;Levi;m;1
2;Leni;w;1
2;Lian;m;1
2;Leyla;w;1
2;Luca;m;1
2;Lilian;w;1
2;Max;m;1
2;Lilly;w;1
2;Maximilian;m;1
2;Livia;w;1
2;Mert;m;1
2;Lotta;w;1
2;Mikael;m;1
2;Maria;w;1
2;Mikail;m;1
2;Mathilda;w;1
2;Mohammad;m;1
2;Matilda;w;1
2;Musa;m;1
2;Maya;w;1
2;Nana;m;1
2;Melek;w;1
2;Nico;m;1
2;Meva;w;1
2;Philipp;m;1
2;Naomi;w;1
2;Salih;m;1
2;Nora;w;1
2;Talha;m;1
2;Olivia;w;1
2;Tamino;m;1
2;Salma;w;1
2;Ömer;m;1
2;Sara;w;1
2;Sena;w;1
2;Sophie;w;1
2;Teodora;w;1
1;Abbas;m;4
1;Christian;m;4
1;Matayo;m;4
1;Abdalgader;m;3
1;Ahmad;m;3
1;Ali;m;3
1;Abena;w;3
1;An;m;3
1;Angelika;w;3
1;Angelo;m;3
1;Antonia;w;3
1;Aurelian;m;3
1;Carla;w;3
1;Bulut;m;3
1;Carol;w;3
1;Carlos;m;3
1;Corinna;w;3
1;Damai;m;3
1;Fatma;w;3
1;Dieter;m;3
1;Fleur;w;3
1;Dominik;m;3
1;Hadidja;w;3
1;Fabian;m;3
1;Helga;w;3
1;Leopold;m;3
1;Hildegard;w;3
1;Lucien;m;3
1;Kahl;w;3
1;Maikel;m;3
1;Konadu;w;3
1;Manfred;m;3
1;Lisabeth;w;3
1;Manman;m;3
1;Lou;w;3
1;Manuel;m;3
1;Magdalene;w;3
1;Mattis;m;3
1;Marta;w;3
1;Maël;m;3
1;Masango;w;3
1;Michael;m;3
1;Michaela;w;3
1;Neuesleben;m;3
1;Milou;w;3
1;Omar;m;3
1;My;w;3
1;Peter;m;3
1;Neriman;w;3
1;Safie;m;3
1;Wanjiru;w;3
1;Sapong;m;3
1;Valentin;m;3
1;Abdallah;m;2
1;Ada;m;2
1;Adam;m;2
1;Adama;m;2
1;Ada;w;2
1;Ahmad;m;2
1;Aden;w;2
1;Ahmet;m;2
1;Adile;w;2
1;Akın;m;2
1;Ahmed;w;2
1;Alan;m;2
1;Aleksandra;w;2
1;Albert;m;2
1;Alenija;w;2
1;Aldeen;m;2
1;Alexandra;w;2
1;Aldin;m;2
1;Alicja;w;2
1;Alessandro;m;2
1;Alissa;w;2
1;Amar;m;2
1;Ama;w;2
1;Amir;m;2
1;Amoe;w;2
1;Ammar;m;2
1;Angelova;w;2
1;Amon;m;2
1;Anh;w;2
1;Andrei;m;2
1;Ann;w;2
1;André;m;2
1;Annemarie;w;2
1;Anton;m;2
1;Aurora;w;2
1;Antonio;m;2
1;Aya;w;2
1;Anuar;m;2
1;Aysu;w;2
1;Aras;m;2
1;Bediha;w;2
1;Artur;m;2
1;Berfin;w;2
1;Asaf;m;2
1;Berline;w;2
1;Asher;m;2
1;Carel;w;2
1;Aslan;m;2
1;Carola;w;2
1;Ayshe;m;2
1;Ceyda;w;2
1;Azad;m;2
1;Charlotte;w;2
1;Bangaly;m;2
1;Chi;w;2
1;Bao;m;2
1;Christabel;w;2
1;Bariş;m;2
1;Christina;w;2
1;Basir;m;2
1;Comissar;w;2
1;Bekir;m;2
1;Corana;w;2
1;Bela;m;2
1;Dalia;w;2
1;Ben;m;2
1;Denise;w;2
1;Benjamin;m;2
1;Dora;w;2
1;Benni;m;2
1;Elaina;w;2
1;Can;m;2
1;Elayn;w;2
1;Chidubem;m;2
1;Eleni;w;2
1;Chizitel;m;2
1;Eleonore;w;2
1;Christopher;m;2
1;Elin;w;2
1;Collin;m;2
1;Elise;w;2
1;Connor;m;2
1;Elizabeth;w;2
1;Constantin;m;2
1;Emima;w;2
1;Danchov;m;2
