anzahl;vorname;geschlecht;position
37;Sophie;w;2
31;Marie;w;2
29;Mia;w;1
24;Noah;m;1
22;Hannah;w;1
21;Maria;w;2
21;Leon;m;1
21;Paul;m;1
20;Emilia;w;1
20;Emil;m;1
19;Theo;m;1
18;Emma;w;1
18;Jonas;m;1
18;Liam;m;1
17;Ida;w;1
17;Ben;m;1
17;Theodor;m;1
16;Paul;m;2
15;Alexander;m;2
15;Emilia;w;2
15;Charlotte;w;1
15;Leo;m;1
15;Oskar;m;1
14;Emil;m;2
14;Maximilian;m;2
14;Charlotte;w;2
14;Ella;w;1
13;Adam;m;1
13;Alexander;m;1
13;Ali;m;1
13;Anton;m;1
13;Felix;m;1
13;Karl;m;1
13;Lio;m;1
12;Clara;w;1
12;Lena;w;1
12;Lina;w;1
12;Mila;w;1
12;Arthur;m;1
12;Elias;m;1
12;Leonard;m;1
12;Maximilian;m;1
12;Mika;m;1
11;Elias;m;2
11;Karl;m;2
11;Sophia;w;2
11;Alina;w;1
11;Ava;w;1
11;Hanna;w;1
11;Laura;w;1
11;Leni;w;1
11;Leonie;w;1
11;Maya;w;1
11;Rosa;w;1
11;Henry;m;1
11;Lukas;m;1
11;Milan;m;1
11;Milo;m;1
10;Jonathan;m;2
10;Oskar;m;2
10;Anna;w;1
10;Emily;w;1
10;Johanna;w;1
10;Lea;w;1
10;Mara;w;1
10;Ronja;w;1
10;Jannis;m;1
10;Levi;m;1
10;Luca;m;1
9;Aurora;w;2
9;Friedrich;m;2
9;Lia;w;1
9;Lilly;w;1
9;Maria;w;1
9;Mina;w;1
9;Mira;w;1
9;Adrian;m;1
9;Sofia;w;1
9;Finn;m;1
9;Jakob;m;1
9;Luis;m;1
9;Maxim;m;1
8;Johanna;w;2
8;Lou;w;2
8;Michael;m;2
8;Valentin;m;2
8;Alma;w;1
8;Helene;w;1
8;Karla;w;1
8;Marie;w;1
8;Bruno;m;1
8;Melissa;w;1
8;Konstantin;m;1
8;Merle;w;1
8;Linus;m;1
8;Nora;w;1
8;Louis;m;1
8;Ruby;w;1
7;Elisabeth;w;2
7;Louise;w;2
7;Felix;m;2
7;Malou;w;2
7;Henry;m;2
7;Joel;m;2
7;Leon;m;2
7;Leonard;m;2
7;Erik;m;1
7;Amalia;w;1
7;Fritz;m;1
7;Amelie;w;1
7;Henri;m;1
7;Elisabeth;w;1
7;Lian;m;1
7;Frida;w;1
7;Luka;m;1
7;Leyla;w;1
7;Max;m;1
7;Lotta;w;1
7;Muhammed;m;1
7;Marlene;w;1
7;Tim;m;1
7;Martha;w;1
7;Mathilda;w;1
7;Sophia;w;1
7;Tilda;w;1
6;Aurelia;w;2
6;Carlotta;w;2
6;Helene;w;2
6;Luise;w;2
6;Johannes;m;2
6;Ahmad;m;1
6;Alessio;m;1
6;Amir;m;1
6;Johann;m;1
6;Amelia;w;1
6;Julian;m;1
6;Elena;w;1
6;Malik;m;1
6;Finja;w;1
6;Mohamed;m;1
6;Isabella;w;1
6;Moritz;m;1
6;Lara;w;1
6;Ole;m;1
6;Liya;w;1
6;Omar;m;1
6;Malia;w;1
6;Valentin;m;1
6;Malina;w;1
6;Viktor;m;1
6;Matilda;w;1
6;Paula;w;1
6;Selma;w;1
6;Valentina;w;1
6;Zoe;w;1
5;Anastasia;w;2
5;Anton;m;2
5;Antonia;w;2
5;Arthur;m;2
5;Elise;w;2
5;Benjamin;m;2
5;Emily;w;2
5;Erik;m;2
5;Frida;w;2
5;Finn;m;2
5;Jane;w;2
5;Gustav;m;2
5;Lina;w;2
5;Johann;m;2
5;Lynn;w;2
5;Liam;m;2
5;Magdalena;w;2
5;Louis;m;2
5;Olivia;w;2
5;Noah;m;2
5;Rosa;w;2
5;Robert;m;2
5;Rose;w;2
5;Vincent;m;2
5;Artur;m;1
5;Bela;m;1
5;Fiete;m;1
5;Hamza;m;1
5;Jasper;m;1
5;Ada;w;1
5;Jonathan;m;1
5;Aleyna;w;1
5;Jonte;m;1
5;Antonia;w;1
5;Joshua;m;1
5;Aurelia;w;1
5;Lennard;m;1
5;Eda;w;1
5;Leonardo;m;1
5;Ela;w;1
5;Mats;m;1
5;Elina;w;1
5;Mattis;m;1
5;Hedi;w;1
5;Michael;m;1
5;Helena;w;1
5;Oscar;m;1
5;Juno;w;1
5;Richard;m;1
5;Lisa;w;1
5;Samuel;m;1
5;Maja;w;1
5;Yasin;m;1
5;Olivia;w;1
5;Thea;w;1
5;Victoria;w;1
5;Yuna;w;1
5;Zoey;w;1
4;Alexander;m;3
4;Johanna;w;3
4;Amalia;w;2
4;Adrian;m;2
4;Elin;w;2
4;David;m;2
4;Ella;w;2
4;John;m;2
4;Emma;w;2
4;Jonas;m;2
