anzahl;vorname;geschlecht;position
15;Marie;w;2
13;Sophie;w;2
10;Emma;w;1
10;Mila;w;1
9;Felix;m;1
9;Niklas;m;1
9;Paul;m;1
8;Maximilian;m;2
8;Emilia;w;1
8;Anton;m;1
8;Lia;w;1
8;Levi;m;1
8;Sophia;w;1
8;Theodor;m;1
7;Paul;m;2
7;Maria;w;2
7;Lena;w;1
7;Alexander;m;1
7;Ben;m;1
7;Liam;m;1
7;Maximilian;m;1
6;Alexander;m;2
6;Elisabeth;w;2
6;Johanna;w;2
6;Anna;w;1
6;Ella;w;1
6;Lara;w;1
6;Lina;w;1
6;Karl;m;1
6;Maria;w;1
6;Theo;m;1
6;Marie;w;1
6;Mathilda;w;1
5;Elisabeth;w;3
5;Anton;m;2
5;Arthur;m;2
5;Elias;m;2
5;Luise;w;2
5;Friedrich;m;2
5;Adrian;m;1
5;Arthur;m;1
5;Amelia;w;1
5;David;m;1
5;Charlotte;w;1
5;Emil;m;1
5;Elena;w;1
5;Julius;m;1
5;Hannah;w;1
5;Louis;m;1
5;Sarah;w;1
5;Matteo;m;1
5;Yuna;w;1
5;Max;m;1
5;Noah;m;1
4;Emilia;w;2
4;Emma;w;2
4;Sophia;w;2
4;Elisabeth;w;1
4;Lea;w;1
4;Finn;m;1
4;Leni;w;1
4;Kilian;m;1
4;Leonie;w;1
4;Luca;m;1
4;Lilly;w;1
4;Maxim;m;1
4;Lucy;w;1
4;Milan;m;1
4;Martha;w;1
4;Milo;m;1
4;Maya;w;1
4;Moritz;m;1
4;Mia;w;1
4;Tom;m;1
4;Mina;w;1
4;Valentin;m;1
4;Olivia;w;1
4;Sofia;w;1
4;Sophie;w;1
3;David;m;2
3;Ferdinand;m;2
3;Frederik;m;2
3;Elisa;w;2
3;Henry;m;2
3;Florentine;w;2
3;Leopold;m;2
3;Madeleine;w;2
3;Luis;m;2
3;Malou;w;2
3;Peter;m;2
3;Mathilda;w;2
3;Samuel;m;2
3;Rosa;w;2
3;Thomas;m;2
3;Rose;w;2
3;Valentin;m;2
3;Valentina;w;2
3;Wilhelm;m;2
3;Aaron;m;1
3;Adam;m;1
3;Benjamin;m;1
3;Antonia;w;1
