anzahl;vorname;geschlecht;position
58;Marie;w;2
50;Noah;m;1
44;Sophie;w;2
43;Mila;w;1
41;Charlotte;w;2
41;Emilia;w;1
35;Charlotte;w;1
34;Maria;w;2
34;Mia;w;1
32;Elias;m;1
31;Adam;m;1
31;Emil;m;1
31;Emma;w;1
30;Leon;m;1
29;Alexander;m;2
28;Clara;w;1
27;Felix;m;1
27;Jonathan;m;1
25;Anton;m;1
24;Lina;w;1
23;Ida;w;1
23;Liam;m;1
23;Matteo;m;1
22;Ella;w;1
22;Sophia;w;1
22;Jakob;m;1
22;Milan;m;1
21;Mira;w;1
21;Louis;m;1
21;Oskar;m;1
21;Paul;m;1
20;Lara;w;1
20;Lea;w;1
20;Karl;m;1
20;Leo;m;1
20;Maximilian;m;1
20;Samuel;m;1
20;Theodor;m;1
19;Hannah;w;1
19;Helena;w;1
19;Leonie;w;1
19;Theo;m;1
18;Ali;m;2
18;Elisabeth;w;2
18;Marie;w;1
18;Arthur;m;1
17;David;m;2
17;Amelie;w;1
17;Frida;w;1
17;Leni;w;1
17;Nora;w;1
17;Paula;w;1
17;Finn;m;1
17;Jonas;m;1
17;Levi;m;1
17;Max;m;1
16;Karl;m;2
16;Valentin;m;2
16;Emilia;w;2
16;Emily;w;1
16;Hanna;w;1
16;Klara;w;1
16;Sara;w;1
16;Ilyas;m;1
15;Maximilian;m;2
15;Paul;m;2
15;Johanna;w;2
15;Alma;w;1
15;Adrian;m;1
15;Anna;w;1
15;Henri;m;1
15;Ela;w;1
15;Julia;w;1
14;Anton;m;2
14;Anna;w;2
14;Elias;m;2
14;Katharina;w;2
14;Ali;m;1
14;Henry;m;1
14;Ava;w;1
14;Julius;m;1
14;Johanna;w;1
14;Lukas;m;1
14;Matilda;w;1
14;Sophie;w;1
13;Luise;w;2
13;Rosa;w;2
13;Aaron;m;1
13;Bruno;m;1
13;Elena;w;1
13;David;m;1
13;Hamza;m;1
13;Linus;m;1
12;Emil;m;2
12;Felix;m;2
12;Johann;m;2
12;Sophia;w;2
12;Antonia;w;1
12;Laura;w;1
12;Maria;w;1
12;Rosalie;w;1
11;Can;m;2
11;Jakob;m;2
11;Julian;m;2
11;Amir;m;1
11;Johann;m;1
11;Ada;w;1
11;Kian;m;1
11;Alina;w;1
11;Mika;m;1
11;Amalia;w;1
11;Omar;m;1
11;Juna;w;1
11;Vincent;m;1
11;Leyla;w;1
11;Maya;w;1
11;Mina;w;1
11;Nisa;w;1
11;Pauline;w;1
11;Zoe;w;1
10;Helena;w;2
10;Nur;w;2
10;Leonard;m;2
10;Michael;m;2
10;Alexander;m;1
