anzahl;vorname;geschlecht;position
16;Emilia;w;1
15;Sophie;w;2
12;Marie;w;2
11;Theo;m;1
11;Charlotte;w;1
10;Paul;m;1
10;Nele;w;1
10;Paula;w;1
9;Alexander;m;2
9;Lotta;w;1
8;Charlotte;w;2
8;Leo;m;1
8;Lio;m;1
8;Luis;m;1
8;Oskar;m;1
8;Frieda;w;1
8;Theodor;m;1
8;Leonie;w;1
8;Lina;w;1
8;Merle;w;1
7;Rose;w;2
7;Emil;m;1
7;Erik;m;1
7;Henry;m;1
7;Emma;w;1
7;Jonas;m;1
7;Matilda;w;1
7;Mia;w;1
7;Mira;w;1
6;Paul;m;2
6;Maria;w;2
6;Jakob;m;1
6;Louis;m;1
6;Lukas;m;1
6;Emily;w;1
6;Max;m;1
6;Marie;w;1
6;Moritz;m;1
6;Mathilda;w;1
6;Mila;w;1
6;Sophia;w;1
5;Elias;m;2
5;Maximilian;m;2
5;Anton;m;1
5;Elias;m;1
5;Felix;m;1
5;Elena;w;1
5;Georg;m;1
5;Ella;w;1
5;Janosch;m;1
5;Ida;w;1
5;Justus;m;1
5;Klara;w;1
5;Levi;m;1
5;Lara;w;1
5;Noah;m;1
5;Luise;w;1
5;Oliver;m;1
5;Luna;w;1
5;Nela;w;1
4;Ben;m;2
4;Emil;m;2
4;Louise;w;2
4;Friedrich;m;2
4;Malou;w;2
4;Johann;m;2
4;Sofie;w;2
4;Michael;m;2
4;Alexander;m;1
4;Bela;m;1
4;Ada;w;1
4;Edgar;m;1
4;Amalia;w;1
4;Elyas;m;1
4;Elisabeth;w;1
4;Fiete;m;1
4;Emelie;w;1
4;Finn;m;1
4;Frida;w;1
4;Jonathan;m;1
4;Helena;w;1
4;Karl;m;1
4;Laura;w;1
4;Leon;m;1
4;Lea;w;1
4;Leonard;m;1
4;Liv;w;1
4;Liam;m;1
4;Maja;w;1
4;Luca;m;1
4;Maria;w;1
4;Matteo;m;1
4;Marlene;w;1
4;Mattis;m;1
4;Romy;w;1
4;Maxim;m;1
4;Sophie;w;1
4;Maximilian;m;1
4;Mika;m;1
4;Milan;m;1
